"(PDH-CSV 4.0) (Asia/Singapore)(-480)","\\srv01\processor(_total)\% processor time",
"2026-6-25 1:32:46.164","22.675249099731445",
"2026-6-25 1:32:47.164","28.11530303955078",
"2026-6-25 1:32:48.169","22.254507064819336",
"2026-6-25 1:32:49.174","24.631153106689453",
"2026-6-25 1:32:50.175","20.361732482910156",
"2026-6-25 1:32:51.182","30.9852294921875",
"2026-6-25 1:32:52.190","28.67321014404297",
"2026-6-25 1:32:53.194","26.09966468811035",
"2026-6-25 1:32:54.199","26.15510368347168",
"2026-6-25 1:32:55.196","27.871431350708008",
"2026-6-25 1:32:56.196","23.44107437133789",
"2026-6-25 1:32:57.196","28.941125869750977",
"2026-6-25 1:32:58.198","37.61953353881836",
"2026-6-25 1:32:59.200","23.5965576171875",
"2026-6-25 1:33:0.212","35.12965774536133",
"2026-6-25 1:33:1.247","46.406192779541016",
"2026-6-25 1:33:2.217","35.530548095703125",
"2026-6-25 1:33:3.219","27.504501342773438",
"2026-6-25 1:33:4.233","29.130538940429688",
"2026-6-25 1:33:5.233","23.40584373474121",
"2026-6-25 1:33:6.243","26.523895263671875",
"2026-6-25 1:33:7.244","39.13974380493164",
"2026-6-25 1:33:8.246","26.68807601928711",
"2026-6-25 1:33:9.248","29.088088989257812",
"2026-6-25 1:33:10.250","39.19804763793945",
"2026-6-25 1:33:11.259","38.8018913269043",
"2026-6-25 1:33:12.257","55.38174057006836",
"2026-6-25 1:33:13.261","33.85865783691406",
"2026-6-25 1:33:14.259","35.014888763427734",
"2026-6-25 1:33:15.269","37.328311920166016",
"2026-6-25 1:33:16.269","28.968332290649414",
"2026-6-25 1:33:17.278","29.52027702331543",
"2026-6-25 1:33:18.276","21.725849151611328",
"2026-6-25 1:33:19.277","23.51631736755371",
"2026-6-25 1:33:20.288","28.872697830200195",
"2026-6-25 1:33:21.293","30.036701202392578",
"2026-6-25 1:33:22.304","32.7776985168457",
"2026-6-25 1:33:23.303","35.865234375",
"2026-6-25 1:33:24.307","28.425662994384766",
"2026-6-25 1:33:25.311","29.22650718688965",
"2026-6-25 1:33:26.320","27.950578689575195",
"2026-6-25 1:33:27.326","30.89249610900879",
"2026-6-25 1:33:28.330","36.22083282470703",
"2026-6-25 1:33:29.329","28.050121307373047",
"2026-6-25 1:33:30.331","39.16913604736328",
"2026-6-25 1:33:31.345","29.12461280822754",
"2026-6-25 1:33:32.355","37.32865524291992",
"2026-6-25 1:33:33.354","31.957962036132812",
"2026-6-25 1:33:34.502","52.35941696166992",
"2026-6-25 1:33:35.376","34.78358840942383",
"2026-6-25 1:33:36.380","32.250526428222656",
"2026-6-25 1:33:37.384","30.766454696655273",
"2026-6-25 1:33:38.396","32.09781265258789",
"2026-6-25 1:33:39.657","44.85074234008789",
"2026-6-25 1:33:40.411","31.562894821166992",
"2026-6-25 1:33:41.423","26.68073081970215",
"2026-6-25 1:33:42.424","36.00848388671875",
"2026-6-25 1:33:43.425","50.823768615722656",
"2026-6-25 1:33:44.428","33.7999153137207",
"2026-6-25 1:33:45.433","30.019020080566406",
"2026-6-25 1:33:46.432","31.984203338623047",
"2026-6-25 1:33:47.450","33.222328186035156",
"2026-6-25 1:33:48.449","31.216136932373047",
"2026-6-25 1:33:49.459","29.58251190185547",
"2026-6-25 1:33:50.462","32.98860549926758",
"2026-6-25 1:33:51.464","24.40784454345703",
"2026-6-25 1:33:52.466","34.50832748413086",
"2026-6-25 1:33:53.469","28.3055477142334",
"2026-6-25 1:33:54.471","29.0658016204834",
"2026-6-25 1:33:55.469","27.995868682861328",
"2026-6-25 1:33:56.480","25.80194664001465",
"2026-6-25 1:33:57.486","26.98392677307129",
"2026-6-25 1:34:6.216","33.07136154174805",
"2026-6-25 1:34:7.229","32.91762924194336",
"2026-6-25 1:34:8.225","30.9739990234375",
"2026-6-25 1:34:9.228","31.423643112182617",
"2026-6-25 1:34:10.234","30.90829086303711",
"2026-6-25 1:34:11.236","37.606361389160156",
"2026-6-25 1:34:12.235","28.11054229736328",
"2026-6-25 1:34:13.237","27.452898025512695",
"2026-6-25 1:34:14.239","29.819705963134766",
"2026-6-25 1:34:15.239","32.81842041015625",
"2026-6-25 1:34:16.255","29.243135452270508",
"2026-6-25 1:34:17.252","33.4312744140625",
"2026-6-25 1:34:18.260","24.005754470825195",
"2026-6-25 1:34:19.263","28.372615814208984",
"2026-6-25 1:34:20.272","31.878894805908203",
"2026-6-25 1:34:21.267","28.489315032958984",
"2026-6-25 1:34:22.265","27.204133987426758",
"2026-6-25 1:34:23.266","40.70497131347656",
"2026-6-25 1:34:24.268","30.598621368408203",
"2026-6-25 1:34:25.275","33.29048156738281",
"2026-6-25 1:34:26.288","29.04224967956543",
"2026-6-25 1:34:27.285","31.052270889282227",
"2026-6-25 1:34:28.401","44.68886184692383",
"2026-6-25 1:34:29.297","15.454076766967773",
"2026-6-25 1:34:30.300","37.639854431152344",
"2026-6-25 1:34:31.306","28.586666107177734",
"2026-6-25 1:34:32.313","26.300769805908203",
"2026-6-25 1:34:33.305","34.653926849365234",
"2026-6-25 1:34:34.306","31.321651458740234",
"2026-6-25 1:34:35.324","46.2496337890625",
"2026-6-25 1:34:36.324","28.109485626220703",
"2026-6-25 1:34:37.340","32.345741271972656",
"2026-6-25 1:34:38.343","49.362464904785156",
"2026-6-25 1:34:40.348","39.222660064697266",
"2026-6-25 1:34:41.354","36.358001708984375",
"2026-6-25 1:34:42.364","28.81623077392578",
"2026-6-25 1:34:43.543","33.752899169921875",
"2026-6-25 1:34:44.551","34.84797668457031",
"2026-6-25 1:34:45.372","26.78827667236328",
"2026-6-25 1:34:46.378","32.40431594848633",
"2026-6-25 1:34:47.384","30.148595809936523",
"2026-6-25 1:34:48.394","24.96473503112793",
"2026-6-25 1:34:49.399","30.001081466674805",
"2026-6-25 1:34:50.403","46.290496826171875",
